ID_UNICO,ingresos_jovenes,SEXO,EDAD,INFORMAL,REGION,NIVEL_EDUCATIVO,INTERNET,SEGURO_SALUD,mesestrab_antiguedad
005406_043_11_02,1560,1,28,1,Sierra,2,1,1,15
005423_010_11_03,900,1,19,1,Sierra,1,1,1,2
005423_010_11_04,170,1,17,1,Sierra,1,1,1,1
005423_035_11_04,65,0,16,1,Sierra,1,0,1,9
005427_068_11_01,226,0,22,1,Sierra,1,1,1,3
005469_043_11_01,1050,0,27,1,Sierra,1,1,1,2
005469_044_11_01,1510,0,29,1,Sierra,1,1,1,12
005469_044_11_02,90,1,23,1,Sierra,1,0,1,6
005480_006_11_04,360,0,23,1,Sierra,2,1,1,1
005480_021_11_04,1609,0,27,0,Sierra,2,1,1,1
005488_025_11_05,1200,0,29,1,Sierra,2,1,1,6
005488_067_11_03,800,0,20,1,Sierra,1,1,1,36
005488_067_11_04,800,0,19,1,Sierra,1,1,0,12
005511_032_11_06,1134,1,27,0,Sierra,2,1,1,22
005511_032_11_07,1050,0,26,1,Sierra,2,1,1,1
005511_032_11_09,400,0,20,1,Sierra,2,1,0,1
005511_048_11_04,1000,0,25,1,Sierra,2,1,1,2
005515_012_11_02,1000,0,24,1,Sierra,2,1,1,3
005515_143_11_03,2081,1,28,0,Sierra,2,1,1,11
005525_049_11_04,1100,0,27,1,Sierra,2,1,1,1
005527_018_11_04,1200,0,22,1,Sierra,1,1,0,36
005527_018_11_07,1920,0,28,1,Sierra,1,1,0,84
005527_114_11_03,1000,1,27,1,Sierra,2,1,1,6
005570_089_11_03,1740,0,26,0,Sierra,2,1,1,13
005570_109_11_03,892,0,24,0,Sierra,2,1,1,11
005570_109_11_04,1252,0,22,0,Sierra,2,1,1,2
005575_003_11_02,800,1,26,1,Sierra,2,1,1,12
005575_034_11_03,1350,0,22,1,Sierra,2,1,1,4
005575_034_11_04,1048,1,27,1,Sierra,2,1,1,71
005580_055_11_04,500,1,20,1,Sierra,2,1,0,2
005589_007_11_02,80,1,19,1,Sierra,2,1,1,2
005615_030_11_05,500,0,18,1,Sierra,1,1,1,13
005615_091_11_02,1300,0,22,1,Sierra,2,1,1,18
005615_091_11_03,1219,1,19,1,Sierra,1,1,1,12
005615_091_11_05,1300,1,26,0,Sierra,2,1,1,11
005657_131_11_04,280,1,17,1,Sierra,1,1,0,3
005691_102_11_01,1239,0,28,0,Sierra,2,1,0,36
005692_007_11_03,700,1,22,1,Sierra,1,1,1,36
005692_080_11_03,1850,0,29,1,Sierra,2,1,1,2
005692_097_11_01,2000,0,29,1,Sierra,2,1,0,1
005692_097_11_02,350,1,27,1,Sierra,2,1,1,2
005701_084_11_02,1075,0,28,0,Sierra,2,1,1,48
005701_084_11_03,870,1,24,0,Sierra,2,1,1,12
005703_195_11_02,130,0,29,1,Sierra,2,1,1,1
005716_108_11_03,1050,0,23,1,Sierra,2,1,1,36
005728_007_11_02,1410,0,28,0,Sierra,2,1,1,1
005739_003_11_03,1120,1,20,1,Selva,2,1,1,12
005739_003_11_04,1000,1,18,1,Selva,1,1,1,18
005766_013_11_03,35,1,16,1,Selva,1,1,1,1
005778_056_11_01,480,0,29,1,Selva,1,0,1,5
005778_056_11_02,40,1,24,1,Selva,1,1,1,1
005778_139_11_03,120,0,19,1,Selva,1,1,0,1
005787_149_11_02,960,0,18,1,Sierra,1,1,1,2
005795_012_11_03,1000,0,18,1,Sierra,1,1,1,1
005795_015_11_03,120,0,15,1,Sierra,1,1,1,1
005839_090_11_02,400,0,18,1,Sierra,1,1,1,1
005854_039_11_02,10,1,21,1,Sierra,1,1,1,2
005854_048_11_01,1025,1,26,1,Sierra,2,1,1,12
005854_076_11_03,600,0,20,1,Sierra,2,1,0,18
005863_073_11_02,80,0,24,1,Sierra,2,1,1,1
005885_071_11_03,981,0,24,1,Selva,2,1,0,46
005888_017_11_03,1400,0,22,1,Sierra,1,1,1,1
005892_198_11_01,2298,0,28,1,Sierra,2,1,1,12
005908_068_11_03,800,1,18,1,Selva,1,1,1,7
005924_103_11_02,1400,0,15,1,Selva,1,0,1,1
005924_120_11_05,245,1,26,1,Selva,2,1,1,12
005949_090_11_04,275,0,17,1,Sierra,1,1,1,1
005963_100_11_02,80,1,17,1,Sierra,1,1,1,36
005999_045_11_02,700,1,23,1,Sierra,1,1,1,2
005999_045_11_06,700,0,20,1,Sierra,1,0,1,4
006014_101_11_03,800,1,19,1,Sierra,1,1,1,5
006033_014_11_02,1270,1,23,0,Costa,1,1,1,18
006033_053_12_02,892,1,26,0,Costa,2,1,1,24
006033_064_11_03,433,0,21,1,Costa,2,1,0,12
006033_078_11_03,1050,1,22,1,Costa,2,1,1,48
006033_078_11_04,1000,0,21,1,Costa,2,1,1,6
006033_093_11_02,277,1,20,1,Costa,2,1,1,1
006068_003_11_02,1440,0,25,1,Costa,2,1,1,18
006068_041_11_03,1740,0,22,1,Costa,1,1,1,25
006068_041_11_04,1060,0,22,1,Costa,2,1,1,30
006068_054_22_01,800,1,27,1,Costa,1,1,1,12
006069_061_22_01,269,1,29,1,Costa,1,1,1,5
006079_018_11_03,892,1,21,0,Costa,2,1,1,6
006092_123_11_05,700,1,26,1,Costa,2,1,1,24
006092_123_11_06,1800,0,27,1,Costa,2,1,0,17
006092_232_11_03,2080,1,29,0,Costa,2,1,1,12
006115_016_11_03,496,1,28,1,Costa,2,1,1,1
006115_107_11_03,900,1,24,0,Costa,2,1,1,27
006138_001_11_02,480,0,21,1,Costa,1,1,1,3
006138_022_22_04,435,0,23,0,Costa,2,1,1,12
006143_020_11_01,2000,0,29,1,Costa,2,1,0,72
006143_041_11_02,820,0,21,0,Costa,2,1,1,15
006143_104_11_02,1195,0,29,0,Costa,1,1,1,15
006153_031_11_01,3000,0,28,1,Costa,2,1,1,96
006153_031_11_02,2400,0,19,1,Costa,1,1,1,24
006153_097_11_03,87,1,18,1,Costa,1,1,0,1
006175_103_11_02,1566,0,27,0,Costa,1,1,1,27
006175_116_11_01,1000,0,25,1,Costa,2,1,1,3
006175_116_11_02,1200,1,25,1,Costa,1,1,1,4
006180_168_11_03,1200,0,27,1,Costa,2,1,1,65
006193_032_11_02,2657,0,24,0,Sierra,2,1,1,18
006193_043_11_03,1780,0,29,0,Sierra,2,1,1,13
006193_043_11_04,1424,1,27,0,Sierra,2,1,1,38
006193_053_11_01,2860,1,26,1,Sierra,1,1,1,2
006195_030_11_03,1200,1,21,1,Sierra,2,1,1,2
006207_039_11_03,487,0,24,0,Sierra,2,1,1,1
006207_053_11_04,800,1,20,1,Sierra,1,1,1,1
006214_016_11_03,489,0,28,1,Sierra,2,1,1,48
006271_055_11_03,3484,0,24,0,Selva,2,1,1,9
006314_035_11_03,1100,1,20,1,Sierra,1,1,1,3
006314_035_11_04,1000,1,18,1,Sierra,1,1,1,1
006314_037_11_03,600,0,19,1,Sierra,2,1,1,1
006315_020_11_03,500,0,16,1,Sierra,1,0,1,1
006315_108_11_03,900,1,17,1,Sierra,1,0,1,1
006315_111_11_03,900,0,21,1,Sierra,1,1,1,2
006324_157_11_03,300,0,17,1,Sierra,1,1,1,1
006324_168_11_03,600,1,19,1,Sierra,1,1,1,1
006324_171_11_03,820,0,22,1,Sierra,1,1,1,2
006345_067_11_03,203,0,24,1,Sierra,1,1,1,48
006345_067_11_05,850,0,20,1,Sierra,1,1,1,2
006345_068_11_04,120,0,24,1,Sierra,2,1,1,9
006362_132_11_02,700,1,24,1,Sierra,1,1,1,3
006401_366_11_02,250,0,18,1,Sierra,1,1,1,1
006417_069_11_05,150,1,17,1,Sierra,1,0,1,1
006417_206_11_02,800,1,29,1,Sierra,1,0,1,1
006452_084_11_03,510,1,25,1,Sierra,1,1,1,24
006452_099_11_02,240,1,25,1,Sierra,1,0,1,1
006469_001_11_03,800,1,19,1,Sierra,2,1,1,7
006469_216_11_03,900,0,24,1,Sierra,1,1,1,2
006472_054_11_02,560,0,20,1,Sierra,1,1,1,1
006472_062_11_04,2000,1,28,1,Sierra,2,1,1,3
006492_183_11_01,500,1,22,1,Sierra,1,1,1,2
006499_070_11_01,383,0,23,1,Sierra,2,1,1,22
006499_155_22_01,1313,0,25,1,Sierra,1,1,1,3
006499_155_22_02,280,1,26,1,Sierra,2,1,1,2
006527_030_11_03,700,0,18,1,Sierra,2,1,1,1
006548_036_11_03,1400,1,23,1,Selva,2,1,1,4
006548_053_11_03,1000,0,21,1,Selva,1,1,1,1
006551_124_11_03,220,1,19,1,Selva,2,1,0,96
006562_084_11_02,1900,1,23,1,Sierra,2,1,1,1
006562_084_11_03,1000,0,19,1,Sierra,1,1,1,1
006571_071_11_02,720,0,21,1,Sierra,1,1,1,24
006571_159_11_03,1440,0,16,1,Sierra,1,1,1,1
006571_160_11_01,1200,0,25,1,Sierra,2,1,1,1
006571_160_11_02,1000,0,22,1,Sierra,1,1,1,1
006571_176_11_03,1600,0,27,1,Sierra,2,1,0,1
006573_024_11_03,400,1,16,1,Sierra,1,1,1,1
006573_024_11_05,240,0,21,1,Sierra,1,1,1,24
006573_024_11_06,75,1,20,1,Sierra,1,1,1,1
006600_039_11_03,700,1,22,1,Sierra,2,1,1,1
006600_137_11_05,572,1,16,1,Sierra,1,1,1,1
006631_012_11_02,1212,0,27,0,Sierra,1,1,1,1
006631_090_11_03,957,1,20,0,Sierra,2,1,1,1
006641_048_11_04,210,0,22,1,Selva,2,1,1,48
006669_034_11_02,1050,0,26,1,Costa,1,1,0,1
006669_034_11_03,1000,1,21,1,Costa,2,1,0,1
006673_031_11_03,892,1,20,0,Costa,2,1,1,6
006673_072_11_03,1347,0,21,1,Costa,1,1,1,48
006673_113_11_02,730,0,20,1,Costa,1,1,0,14
006683_013_11_02,2000,1,27,0,Costa,1,1,1,87
006683_045_11_01,1920,0,24,1,Costa,1,1,1,12
006683_045_11_04,1680,1,26,1,Costa,2,1,1,84
006683_061_11_03,960,0,27,1,Costa,2,1,0,1
006683_107_11_02,205,1,29,1,Costa,2,1,1,36
006692_018_11_04,960,0,20,1,Costa,2,1,0,24
006692_032_12_07,446,1,23,0,Costa,2,1,1,12
006692_048_11_03,480,0,21,1,Costa,1,1,1,1
006721_008_11_03,1044,1,27,0,Costa,2,1,1,30
006721_020_11_02,900,1,21,1,Costa,2,1,1,4
006721_055_11_03,892,1,26,0,Costa,2,1,1,36
006749_036_11_01,478,1,27,0,Costa,2,1,1,49
006749_036_11_02,1100,1,18,1,Costa,2,1,0,1
006749_043_11_02,471,1,29,1,Costa,2,1,1,18
006749_051_11_02,1560,1,28,0,Costa,2,1,1,25
006749_051_11_03,1920,0,22,1,Costa,2,1,0,2
006769_191_11_08,1548,0,22,0,Costa,2,1,1,4
006774_028_11_02,1965,0,24,1,Costa,1,1,0,36
006774_135_11_03,1480,0,23,0,Costa,2,1,1,30
006790_017_11_02,1170,1,27,1,Costa,2,1,0,10
006793_021_11_02,1050,0,23,1,Costa,1,1,0,4
006793_035_11_02,600,0,27,1,Costa,2,1,0,5
006793_091_11_02,896,1,19,0,Costa,2,1,1,5
006810_021_11_03,1200,0,25,1,Costa,2,1,0,3
006820_004_11_02,1200,1,21,1,Costa,2,1,1,4
006820_015_11_02,1050,0,25,1,Costa,2,1,1,1
006820_047_11_02,1174,0,27,1,Costa,1,1,0,7
006820_056_11_01,1040,1,20,1,Costa,1,1,1,1
006837_103_11_01,1900,1,24,1,Costa,2,1,1,2
006837_119_11_01,1044,1,28,0,Costa,2,1,1,35
006864_071_11_03,1100,1,28,1,Costa,1,1,1,6
006879_099_11_03,1120,1,21,1,Costa,1,1,1,2
006879_104_11_03,600,0,15,1,Costa,1,1,1,1
006881_053_11_01,1827,0,25,0,Sierra,1,1,1,5
006881_100_11_02,1000,0,27,1,Sierra,2,1,1,2
006886_051_11_03,800,0,26,1,Sierra,2,1,0,96
006886_198_11_01,1000,1,28,1,Sierra,2,1,1,36
006886_198_11_05,892,0,26,0,Sierra,2,1,1,36
006886_198_11_06,600,1,24,1,Sierra,1,1,1,24
006899_071_11_02,960,0,21,1,Sierra,1,1,1,12
006901_021_11_04,500,1,29,1,Sierra,2,1,1,3
006901_147_11_02,1355,1,26,0,Sierra,2,1,1,2
006921_047_11_03,1810,1,27,0,Sierra,2,1,1,18
006933_055_11_05,1566,0,27,0,Sierra,1,1,1,11
007024_057_11_03,1305,0,28,0,Sierra,1,1,1,3
007045_121_11_02,800,1,18,1,Sierra,2,1,1,1
007045_121_11_04,1653,0,24,0,Sierra,2,1,1,9
007045_123_11_03,100,0,21,1,Sierra,2,1,1,1
007045_124_11_03,1000,0,25,1,Sierra,1,1,1,1
007045_124_11_05,4089,0,20,1,Sierra,1,1,1,26
007073_136_11_03,960,0,18,1,Selva,1,1,1,12
007073_136_11_04,960,0,15,1,Selva,1,1,1,12
007073_137_11_03,240,0,16,1,Selva,1,0,1,9
007073_138_11_03,142,0,23,1,Selva,1,0,1,24
007073_138_11_04,500,0,19,1,Selva,1,0,1,24
007073_144_11_03,500,1,24,1,Selva,1,1,1,13
007073_144_11_04,960,0,19,1,Selva,1,1,1,12
007073_144_11_05,960,0,16,1,Selva,1,1,1,12
007093_007_11_02,2610,0,29,0,Costa,2,1,1,24
007102_068_11_08,1025,1,25,1,Costa,2,1,1,2
007121_009_11_02,1740,1,24,0,Costa,2,1,1,6
007121_055_11_02,2335,0,27,0,Costa,2,1,1,19
007135_124_11_03,3000,1,27,1,Costa,2,1,0,36
007136_057_11_04,1053,1,23,0,Costa,2,1,1,24
007147_027_11_03,892,0,22,0,Costa,1,1,1,24
007147_027_11_04,1033,1,27,0,Costa,1,1,1,48
007147_027_11_07,700,1,29,1,Costa,1,1,1,18
007147_061_11_02,150,0,23,1,Costa,1,1,0,2
007147_077_11_01,1320,0,26,1,Costa,1,1,1,72
007147_077_11_02,150,1,25,1,Costa,1,1,1,36
007147_110_11_01,700,0,24,1,Costa,1,1,1,24
007147_110_11_03,400,0,21,1,Costa,1,1,0,2
007147_110_11_04,360,0,17,1,Costa,1,0,0,1
007161_078_11_03,2000,0,28,1,Costa,1,1,1,1
007161_144_11_04,100,0,16,1,Costa,1,1,0,2
007161_144_11_08,960,0,24,1,Costa,1,1,0,4
007161_144_11_09,960,1,22,1,Costa,1,1,1,3
007161_144_11_11,1522,0,26,1,Costa,1,1,0,8
007161_209_11_03,1305,0,29,0,Costa,2,1,1,60
007185_079_11_02,300,0,27,1,Costa,1,1,1,144
007185_079_11_05,870,1,22,0,Costa,2,1,1,12
007185_113_12_03,607,0,18,1,Costa,1,1,1,48
007185_113_22_01,321,0,21,1,Costa,1,1,1,4
007187_035_11_03,1025,1,22,1,Costa,2,1,1,1
007187_104_11_03,384,1,22,1,Costa,2,1,1,2
007187_137_11_01,1074,0,29,1,Costa,2,1,1,60
007192_113_11_04,1440,0,27,1,Costa,1,1,1,1
007195_105_11_03,1031,1,29,1,Costa,1,1,1,2
007220_165_11_03,2175,1,28,0,Sierra,2,1,1,4
007229_036_11_03,1392,0,19,1,Costa,1,1,1,1
007243_039_11_03,1600,0,20,1,Sierra,1,1,0,1
007243_039_11_04,1750,0,27,1,Sierra,1,1,1,1
007243_126_11_03,360,0,18,1,Sierra,2,1,1,48
007243_126_11_04,120,0,16,1,Sierra,1,1,1,48
007243_126_11_05,120,0,16,1,Sierra,1,1,1,60
007258_057_11_03,400,1,21,1,Sierra,1,1,1,30
007259_228_11_02,1200,0,27,1,Sierra,1,1,1,18
007278_085_11_02,892,0,25,0,Sierra,1,1,1,1
007278_086_11_02,700,0,19,1,Sierra,1,1,1,4
007278_088_11_03,1740,0,21,0,Sierra,1,1,1,3
007314_024_11_02,800,1,29,1,Costa,1,1,1,4
007314_024_11_03,1100,0,26,1,Costa,1,1,1,1
007325_042_11_03,485,0,26,1,Costa,2,1,1,48
007325_078_11_03,2425,1,26,0,Costa,2,1,1,54
007332_026_11_03,1087,0,21,0,Costa,1,1,1,12
007336_023_11_03,1040,0,21,1,Costa,2,1,1,7
007336_023_11_05,1170,1,29,1,Costa,2,1,1,5
007336_060_11_02,935,0,28,1,Costa,2,1,1,48
007339_057_11_03,550,0,24,1,Costa,2,1,0,12
007355_058_11_02,1200,0,28,1,Costa,2,1,1,12
007355_128_11_01,900,0,26,0,Costa,2,1,1,42
007356_084_13_04,1000,0,19,1,Costa,1,1,1,15
007365_005_23_02,1175,1,23,0,Costa,2,1,1,132
007365_005_23_03,1100,0,20,1,Costa,1,1,1,1
007365_050_11_03,1024,0,23,1,Costa,2,1,1,24
007365_050_11_04,140,1,19,1,Costa,2,1,1,7
007389_007_11_03,1000,0,25,1,Costa,2,1,1,1
007389_042_11_04,1566,0,28,0,Costa,2,1,1,24
007389_097_11_02,100,1,25,1,Costa,2,1,1,36
007389_116_11_02,800,0,25,1,Costa,2,1,1,3
007408_021_11_02,400,1,23,1,Costa,2,1,1,24
007408_037_11_03,1030,0,27,0,Costa,2,1,1,12
007408_037_11_04,1050,0,26,1,Costa,1,0,1,1
007408_037_11_05,5700,0,28,1,Costa,1,1,1,96
007408_053_11_03,1010,0,23,1,Costa,2,1,1,48
007408_053_11_04,1155,1,29,0,Costa,2,1,1,36
007408_117_11_02,600,0,18,1,Costa,1,1,1,3
007444_020_11_03,1218,1,23,0,Costa,1,1,1,60
007444_021_11_02,1200,0,21,0,Costa,1,1,1,24
007444_022_11_03,1200,0,18,1,Costa,1,1,1,12
007444_022_11_06,1200,0,20,1,Costa,1,1,1,24
007458_059_11_03,930,0,28,1,Costa,1,1,1,1
007458_185_11_04,100,1,26,1,Costa,2,1,1,12
007458_186_11_03,400,1,18,1,Costa,2,1,1,18
007458_190_11_03,240,0,22,1,Costa,2,1,1,4
007466_048_11_04,960,0,26,1,Sierra,1,1,1,60
007477_086_11_03,1200,0,22,1,Costa,1,1,1,48
007492_006_11_03,860,1,19,1,Costa,2,1,1,7
007494_014_11_02,200,1,24,1,Costa,2,1,1,2
007494_049_11_03,1620,0,26,0,Costa,2,1,1,3
007494_049_11_04,900,1,20,1,Costa,2,1,1,96
007512_097_11_03,1037,1,20,0,Costa,2,1,1,7
007521_160_11_02,2180,1,28,0,Costa,2,1,1,6
007543_031_11_02,423,1,22,0,Costa,2,1,1,8
007546_007_11_03,1160,0,26,1,Costa,2,1,1,3
007546_019_11_01,4260,0,29,0,Costa,2,1,1,96
007572_101_11_04,1700,1,23,1,Costa,2,1,1,18
007586_009_11_03,2175,1,27,0,Costa,2,1,1,12
007586_026_11_02,1660,0,26,1,Costa,2,1,1,1
007586_026_11_05,1025,1,21,1,Costa,2,1,1,2
007594_130_11_02,1935,0,26,0,Costa,1,1,1,60
007594_189_11_07,1566,0,28,0,Costa,2,0,1,5
007594_189_11_08,880,0,20,0,Costa,2,1,1,9
007613_014_11_01,500,0,22,1,Costa,1,1,1,3
007629_072_11_03,1010,1,23,0,Costa,2,1,1,3
007634_024_11_03,1985,1,29,0,Costa,2,1,1,1
007634_132_11_03,1225,0,20,0,Costa,2,1,1,1
007649_010_13_02,2200,1,29,0,Costa,2,1,1,60
007649_112_11_03,1025,0,26,0,Costa,2,1,1,7
007651_042_11_03,8000,0,28,0,Costa,2,1,1,10
007651_042_11_04,1800,1,25,1,Costa,2,1,1,7
007653_002_11_01,1630,0,28,0,Costa,1,1,1,36
007653_022_11_04,1600,0,26,1,Costa,2,1,1,6
007653_042_11_05,1470,0,28,0,Costa,1,1,1,24
007653_042_11_06,1190,0,23,0,Costa,1,1,1,24
007670_038_11_03,12,1,26,1,Costa,1,1,1,48
007677_006_11_03,1299,0,20,1,Costa,1,1,0,84
007680_115_11_07,800,1,25,1,Costa,1,1,1,3
007709_040_11_02,1515,0,28,0,Costa,2,1,1,12
007709_071_11_03,250,0,29,1,Costa,1,1,1,5
007709_100_11_03,1050,0,26,1,Costa,2,1,0,12
007714_147_11_02,1000,0,22,1,Costa,1,1,1,26
007714_147_11_05,1200,1,20,1,Costa,1,1,1,18
007739_028_11_03,895,0,24,0,Costa,2,1,1,3
007739_066_11_01,1169,0,22,1,Costa,2,1,1,64
007739_080_11_02,500,1,20,1,Costa,2,1,1,7
007751_047_11_05,1300,1,29,1,Costa,1,1,1,36
007754_118_11_05,1012,1,28,0,Costa,2,1,1,12
007800_059_11_02,1392,0,29,0,Costa,2,1,1,24
007800_088_11_03,2000,0,22,1,Costa,1,1,1,7
007800_104_11_03,1685,0,19,1,Costa,1,1,1,8
007802_047_11_02,1130,1,26,0,Costa,2,1,1,24
007802_129_11_01,1120,1,29,1,Costa,1,0,1,36
007802_186_11_01,1145,0,26,0,Costa,1,1,1,29
007802_212_11_03,1000,0,20,1,Costa,2,1,0,15
007808_028_11_01,1790,1,25,1,Costa,1,1,1,29
007808_028_11_02,957,0,25,0,Costa,1,1,1,4
007808_048_11_01,1600,0,26,1,Costa,2,1,0,36
007808_065_11_01,1720,0,29,1,Costa,1,1,0,32
007837_007_11_02,346,1,26,1,Costa,2,1,1,24
007837_046_11_02,2436,1,26,0,Costa,2,1,1,15
007837_046_11_03,1870,0,23,1,Costa,2,1,0,6
007839_191_11_01,4020,1,29,1,Costa,2,1,1,2
007859_065_11_02,1187,1,26,0,Costa,2,1,1,2
007891_122_11_02,1560,0,21,1,Costa,1,1,0,1
007903_033_11_03,905,0,21,1,Costa,1,1,0,14
007918_033_11_04,1130,0,20,1,Costa,2,1,1,12
007918_066_11_02,975,1,23,0,Costa,2,1,1,24
007918_066_11_03,800,1,18,1,Costa,1,1,1,1
007918_096_11_02,1500,1,27,1,Costa,1,1,1,12
007939_002_11_04,574,0,17,1,Costa,1,1,1,1
007939_032_11_03,590,1,22,0,Costa,2,1,1,48
007974_050_11_02,1200,1,21,1,Costa,1,1,1,2
007974_175_11_03,1000,0,25,1,Costa,2,1,1,14
007974_175_11_04,720,1,22,1,Costa,2,1,1,8
007989_092_11_03,1000,0,27,1,Costa,2,1,1,18
007989_092_11_04,320,0,17,1,Costa,1,1,1,36
008010_002_11_04,800,1,19,1,Costa,1,1,1,6
008010_148_11_03,950,1,25,1,Costa,2,1,0,3
008035_051_11_03,930,0,29,0,Costa,2,1,1,24
008035_051_11_04,740,0,23,1,Costa,2,1,1,1
008035_065_11_04,1200,0,28,1,Costa,2,1,0,12
008035_079_11_03,240,0,15,1,Costa,1,1,1,1
008035_095_11_03,1200,0,21,1,Costa,1,1,1,17
008042_076_11_03,1400,0,29,1,Sierra,1,1,1,1
008042_076_11_04,892,1,23,0,Sierra,1,1,1,11
008042_076_11_10,1975,0,26,0,Sierra,1,1,1,5
008042_107_11_01,800,1,28,1,Sierra,2,1,1,4
008052_036_11_03,1300,1,27,1,Costa,2,1,1,48
008086_035_11_05,1000,0,23,1,Costa,1,1,1,2
008089_007_11_04,390,0,22,1,Costa,1,1,0,17
008089_022_11_03,1200,0,21,1,Costa,1,1,0,1
008089_022_11_04,1000,1,17,1,Costa,1,1,0,1
008089_097_11_03,650,0,24,1,Costa,1,1,0,24
008089_097_11_04,600,0,22,1,Costa,1,1,0,60
008089_097_11_09,1343,0,27,1,Costa,1,1,0,72
008097_030_12_03,1080,1,20,1,Costa,1,1,1,36
008097_030_22_02,880,1,24,1,Costa,1,1,1,48
008097_105_11_02,200,1,22,1,Costa,2,1,0,1
008102_010_11_03,870,0,22,0,Costa,2,1,1,22
008102_016_11_03,400,0,16,1,Costa,1,1,1,1
008118_037_11_02,640,0,26,0,Costa,2,1,1,20
008130_275_11_07,840,0,25,1,Costa,1,1,0,1
008130_276_11_02,1440,0,18,1,Costa,1,1,1,1
008130_276_11_03,980,1,26,1,Costa,1,1,1,6
008156_227_11_04,30,1,27,1,Sierra,1,1,1,12
008179_004_11_03,1725,1,25,0,Selva,2,1,1,6
008179_084_11_04,800,0,26,1,Selva,1,1,1,6
008179_084_11_05,1100,0,22,0,Selva,1,1,1,24
008181_155_11_03,800,0,23,1,Selva,1,1,0,2
008181_155_11_06,582,0,23,0,Selva,2,1,1,8
008199_122_11_05,1106,1,29,0,Selva,2,1,1,18
008210_067_13_03,520,0,19,1,Selva,1,1,0,1
